tier,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,status_standard,dominant_role_share,stratified_role_purity,metadata_concentration_risk_max_share,top_tokens
low_reliability_or_unlikely,surface_token,aral,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.6,aral
low_reliability_or_unlikely,surface_token,chckhdy,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chckhdy
low_reliability_or_unlikely,surface_token,checthy,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,checthy
low_reliability_or_unlikely,surface_token,cheo,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,cheo
low_reliability_or_unlikely,surface_token,cheos,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,cheos
low_reliability_or_unlikely,surface_token,chl,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chl
low_reliability_or_unlikely,surface_token,daldy,R09,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,daldy
low_reliability_or_unlikely,surface_token,e,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,e
low_reliability_or_unlikely,surface_token,f,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,f
low_reliability_or_unlikely,surface_token,kchey,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,kchey
low_reliability_or_unlikely,surface_token,koldy,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,koldy
low_reliability_or_unlikely,surface_token,lkar,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lkar
low_reliability_or_unlikely,surface_token,lky,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lky
low_reliability_or_unlikely,surface_token,ockhy,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,ockhy
low_reliability_or_unlikely,surface_token,okam,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.6,okam
low_reliability_or_unlikely,surface_token,okchey,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,okchey
low_reliability_or_unlikely,surface_token,okeoly,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.6,okeoly
low_reliability_or_unlikely,surface_token,olkaiin,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olkaiin
low_reliability_or_unlikely,surface_token,olkeeey,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olkeeey
low_reliability_or_unlikely,surface_token,olky,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,olky
low_reliability_or_unlikely,surface_token,olshedy,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,olshedy
low_reliability_or_unlikely,surface_token,oror,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.6,oror
low_reliability_or_unlikely,surface_token,qoeey,H07,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qoeey
low_reliability_or_unlikely,surface_token,qokair,H08,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokair
low_reliability_or_unlikely,surface_token,qokchedy,H10,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokchedy
low_reliability_or_unlikely,surface_token,qokeeey,H08,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokeeey
low_reliability_or_unlikely,surface_token,qokor,H08,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokor
low_reliability_or_unlikely,surface_token,qolchey,H07,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qolchey
low_reliability_or_unlikely,surface_token,qolkeedy,H21,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qolkeedy
low_reliability_or_unlikely,surface_token,qor,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qor
low_reliability_or_unlikely,surface_token,qoteey,H13,5,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qoteey
low_reliability_or_unlikely,surface_token,qotey,H13,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qotey
low_reliability_or_unlikely,surface_token,rain,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,rain
low_reliability_or_unlikely,surface_token,rar,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,rar
low_reliability_or_unlikely,surface_token,shar,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.6,shar
low_reliability_or_unlikely,surface_token,shcthy,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,shcthy
low_reliability_or_unlikely,surface_token,sheal,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,sheal
low_reliability_or_unlikely,surface_token,shear,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,shear
low_reliability_or_unlikely,surface_token,sheckhy,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,sheckhy
low_reliability_or_unlikely,surface_token,tchedy,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,tchedy
low_reliability_or_unlikely,surface_token,ychol,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,ychol
low_reliability_or_unlikely,surface_token,ydaiin,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,ydaiin
low_reliability_or_unlikely,surface_token,ykchy,R06,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.6,ykchy
low_reliability_or_unlikely,surface_token,ykeody,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.8,ykeody
low_reliability_or_unlikely,surface_token,ch,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,ch
low_reliability_or_unlikely,surface_token,chedain,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chedain
low_reliability_or_unlikely,surface_token,chedar,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chedar
low_reliability_or_unlikely,surface_token,cheeor,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,cheeor
low_reliability_or_unlikely,surface_token,chees,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chees
low_reliability_or_unlikely,surface_token,chekain,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chekain
low_reliability_or_unlikely,surface_token,ches,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,ches
low_reliability_or_unlikely,surface_token,chockhey,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,chockhey
low_reliability_or_unlikely,surface_token,chokchy,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,chokchy
low_reliability_or_unlikely,surface_token,chotal,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,chotal
low_reliability_or_unlikely,surface_token,chs,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,chs
low_reliability_or_unlikely,surface_token,ckhey,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,ckhey
low_reliability_or_unlikely,surface_token,cphol,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,cphol
low_reliability_or_unlikely,surface_token,cphy,R00,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,cphy
low_reliability_or_unlikely,surface_token,cthaiin,R04,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,cthaiin
low_reliability_or_unlikely,surface_token,dan,R06,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.75,dan
low_reliability_or_unlikely,surface_token,dchedy,R06,4,4,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,dchedy
